,Rank,School,Type,Grades,Address,City,Zip,Latitude,Longitude,Is Charter,Is Magnet,Is Virtual,Is Title I,Phone,Full_Address
0,1,Academy For Information Technology,Public,12-Sep,1776 Raritan Road,Scotch Plains,7076,40.6180513,-74.3570355,No,(n/a),No,No,(908) 889-8288,"1776 Raritan Road, Scotch Plains, NJ 07076"
1,1,Academy for Mathematics Science and Engineering,Public,12-Sep,520 West Main Street,Rockaway,7866,40.890836,-74.52918,No,(n/a),No,No,(973) 664-2301,"520 West Main Street, Rockaway, NJ 07866"
2,1,Bergen County Academies,Public,12-Sep,200 Hackensack Avenue,Hackensack,7601,40.9017414,-74.0335932,No,(n/a),No,No,(201) 343-6000,"200 Hackensack Avenue, Hackensack, NJ 07601"
3,1,Communications High School,Public,12-Sep,1740 New Bedford Road,Wall,7719,40.16990089999999,-74.0620491,No,(n/a),No,No,(732) 681-1010,"1740 New Bedford Road, Wall, NJ 07719"
4,1,Dr Ronald McNair High School,Public,12-Sep,123 Coles Street,Jersey City,7302,40.72683019999999,-74.0474017,No,(n/a),No,Yes,(201) 418-7617,"123 Coles Street, Jersey City, NJ 07302"
5,1,Marine Academy Of Science And Technology,Public,12-Sep,305 Mast Way,Highlands,7732,40.4602808,-73.9996845,No,(n/a),No,No,(732) 291-0995,"305 Mast Way, Highlands, NJ 07732"
6,1,Marine Academy of Technology and Environmental Science,Public,12-Sep,195 Cedar Bridge Road,Manahawkin,8050,39.7162774,-74.25566800000001,No,(n/a),No,No,(609) 978-8439,"195 Cedar Bridge Road, Manahawkin, NJ 08050"
7,1,Middlesex County Vocational Academy Math Science &Engineering Techn,Public,12-Sep,100 Technology Drive,Edison,8837,40.5045558,-74.36955019999999,No,(n/a),No,No,(732) 452-2600,"100 Technology Drive, Edison, NJ 08837"
8,1,Monmouth County Academy of Allied Health and Science,Public,12-Sep,2325 Heck Avenue,Neptune,7753,40.21468180000001,-74.0378187,No,(n/a),No,No,(732) 775-0058,"2325 Heck Avenue, Neptune, NJ 07753"
9,1,Union County Magnet High School,Public,12-Sep,1776 Raritan Road,Scotch Plains,7076,40.6180513,-74.3570355,No,(n/a),No,No,(908) 889-8288,"1776 Raritan Road, Scotch Plains, NJ 07076"
10,11,High Technology High School,Public,12-Sep,765 Newman Springs Road,Lincroft,7738,40.3263561,-74.1311317,No,(n/a),No,No,(732) 842-8444,"765 Newman Springs Road, Lincroft, NJ 07738"
11,12,Science Park High School,Public,12-Jul,260 Norfolk Street,Newark,7102,40.739939,-74.1854638,No,(n/a),No,Yes,(973) 733-8689,"260 Norfolk Street, Newark, NJ 07102"
12,13,High Technical High School,Public,12-Sep,1 High Tech Way,Secaucus,7094,40.7611192,-74.0828525,No,(n/a),No,Yes,(201) 662-6801,"1 High Tech Way, Secaucus, NJ 07094"
13,14,Mountain Lakes High School,Public,12-Sep,96 Powerville Rd.,Mountain Lakes,7046,40.8952526,-74.42718980000001,No,(n/a),No,No,(973) 334-8400,"96 Powerville Rd., Mountain Lakes, NJ 07046"
14,15,Millburn High School,Public,12-Sep,462 Millburn Ave,Millburn,7041,40.7204896,-74.31569569999999,No,(n/a),No,No,(973) 564-7130,"462 Millburn Ave, Millburn, NJ 07041"
15,16,Ramsey High School,Public,12-Sep,256 E Main Street,Ramsey,7446,41.0568526,-74.13442309999999,No,(n/a),No,No,(201) 785-2300,"256 E Main Street, Ramsey, NJ 07446"
16,17,Glen Ridge High School,Public,12-Jul,200 Ridgewood Ave,Glen Ridge,7028,40.7993268,-74.2064682,No,(n/a),No,No,(973) 429-8303,"200 Ridgewood Ave, Glen Ridge, NJ 07028"
17,18,Montgomery High School,Public,12-Sep,1016 Route 601,Skillman,8558,40.4174592,-74.7064384,No,(n/a),No,Yes,(609) 466-7602,"1016 Route 601, Skillman, NJ 08558"
18,19,Holmdel High School,Public,12-Sep,36 Crawfords Corner Road,Holmdel,7733,40.3813183,-74.17875769999999,No,(n/a),No,Yes,(732) 946-1832,"36 Crawfords Corner Road, Holmdel, NJ 07733"
19,20,Ridgewood High School,Public,12-Sep,627 East Ridgewood Ave,Ridgewood,7451,40.977754,-74.105593,No,(n/a),No,No,(201) 670-2800,"627 East Ridgewood Ave, Ridgewood, NJ 07451"
20,21,Ridge High School,Public,12-Sep,268 South Finley Avenue,Basking Ridge,7920,40.6943602,-74.5468722,No,(n/a),No,No,(908) 204-2585,"268 South Finley Avenue, Basking Ridge, NJ 07920"
21,22,Northern Valley Regional High School At Demarest,Public,12-Sep,150 Knickerbocker Road,Demarest,7627,40.9625641,-73.9740798,No,(n/a),No,No,(201) 768-3200,"150 Knickerbocker Road, Demarest, NJ 07627"
22,23,Park Ridge High School,Public,12-Jul,2 Park Ave,Park Ridge,7656,41.0346734,-74.0427237,No,(n/a),No,No,(201) 573-6000,"2 Park Ave, Park Ridge, NJ 07656"
23,24,West Windsor-Plainsboro High School North,Public,12-Sep,90 Grovers Mill Road,Plainsboro,8536,40.3224272,-74.60069639999999,No,(n/a),No,Yes,(609) 716-5100,"90 Grovers Mill Road, Plainsboro, NJ 08536"
24,25,Performing Arts Academy of the Ocean County Vocational Technical,Public,12-Sep,Route 547,Lakehurst,8733,40.0182789,-74.3098488,No,(n/a),No,No,(732) 286-5678,"Route 547, Lakehurst, NJ 08733"
25,26,Governor Livingston High School,Public,12-Sep,175 Watchung Boulevard,Berkeley Heights,7922,40.6871612,-74.38687879999999,No,(n/a),No,Yes,(908) 464-3100,"175 Watchung Boulevard, Berkeley Heights, NJ 07922"
26,27,Livingston High School,Public,12-Sep,30 Robert Harp Drive,Livingston,7039,40.7839726,-74.3209948,No,(n/a),No,Yes,(973) 535-8000,"30 Robert Harp Drive, Livingston, NJ 07039"
