Rank (of 368),School,Type,Grades,Address,City,Zip,Is Charter,Is Magnet,Is Virtual,Is Title I,Phone
141,Jefferson Township High School,Public,12-Sep,1010 Weldon Rd Rd2,Oak Ridge,7438,No,(n/a),No,No,(973) 697-3535
142,Morristown High School,Public,12-Sep,50 Early Street,Morristown,7960,No,(n/a),No,No,(973) 292-2000
143,Newton High School,Public,12-Sep,44 Ryerson Avenue,Newton,7860,No,(n/a),No,No,(973) 383-7573
144,Kingsway Regional High School,Public,12-Sep,201 Kings Highway,Woolwich Twp,8085,No,(n/a),No,Yes,(856) 467-3300
145,Woodstown High School,Public,12-Sep,140 East Avenue,Woodstown,8098,No,(n/a),No,Yes,(856) 769-0144
146,Lakeland Regional High School,Public,12-Sep,205 Conklintown Road,Wanaque,7465,No,(n/a),No,Yes,(973) 835-1900
147,Montclair High School,Public,12-Sep,100 Chestnut St,Montclair,7042,No,(n/a),No,No,(973) 509-4100
148,Delsea Regional High School,Public,12-Sep,242 Fries Mill Rd,Franklinville,8322,No,(n/a),No,Yes,(856) 694-0100
149,Salem County Career and Technical High School,Public,12-Sep,880 Route 45,Woodstown,8098,No,(n/a),No,No,(856) 769-0101
150,Gateway Regional High School,Public,12-Jul,775 Tanyard Rd,Woodbury Hts,8096,No,(n/a),No,Yes,(856) 848-8200
151,Warren Hills Regional High School,Public,12-Sep,41 Jackson Valley Road,Washington,7882,No,(n/a),No,No,(908) 689-3050
152,Lenape Valley Regional High School,Public,12-Sep,28 Sparta Road,Stanhope,7874,No,(n/a),No,Yes,(973) 347-7600
153,Old Bridge High School,Public,12-Sep,4209 Route 516,Matawan,7747,No,(n/a),No,No,(732) 290-3900
154,West Deptford High School,Public,12-Sep,1600 Old Crown Point Rd,West Deptford,8093,No,(n/a),No,No,(856) 848-6110
155,Kittatinny Regional High School,Public,12-Jul,77 Halsey Road,Newton,7860,No,(n/a),No,Yes,(973) 383-1800
156,County Prep High School,Public,12-Sep,525 Montgomery Street,Jersey City,7306,No,(n/a),No,Yes,(201) 631-6302
157,Emerson Junior Senior High,Public,12-Jul,131 Main Street,Emerson,7630,No,(n/a),No,Yes,(201) 262-4447
158,South Plainfield High School,Public,12-Sep,200 Lake Street,South Plainfield,7080,No,(n/a),No,No,(908) 754-4620
159,North Bergen High School,Public,12-Sep,7417 Kennedy Blvd,North Bergen,7047,No,(n/a),No,No,(201) 295-2800
160,Hackettstown High School,Public,12-Sep,599 Warren Street,Hackettstown,7840,No,(n/a),No,No,(908) 852-8150
161,Henry P. Becton Regional High School,Public,12-Sep,120 Paterson Avenue,East Rutherford,7073,No,(n/a),No,Yes,(201) 935-3007
162,Henry Hudson Regional School,Public,12-Jul,1 Grand Tour,Highlands,7732,No,(n/a),No,Yes,(732) 872-0900
163,Atlantic County Institute of Technology,Public,12-Sep,5080 Atlantic Avenue,Mays Landing,8330,No,(n/a),No,Yes,(609) 625-2249
164,Roxbury High School,Public,12-Sep,One Bryant Drive,Succasunna,7876,No,(n/a),No,No,(973) 584-1200
165,North Brunswick Township High School,Public,12-Sep,98 Raider Road,North Brunswick,8902,No,(n/a),No,No,(732) 289-3702
166,Fort Lee High School,Public,12-Sep,3000 Lemoine Ave,Fort Lee,7024,No,(n/a),No,Yes,(201) 585-4675
167,Sussex County Technical School,Public,12-Sep,105 North Church Road,Sparta,7871,No,(n/a),No,Yes,(973) 383-6700
168,Colonia High School,Public,12-Sep,East Street,Colonia,7067,No,(n/a),No,No,(732) 726-7060
169,Weehawken High School,Public,12-Jul,53 Liberty Place,Weehawken,7086,No,(n/a),No,Yes,(201) 422-6130
170,Toms River High School East,Public,12-Sep,1225 Raider Way,Toms River,8753,No,(n/a),No,No,(732) 505-5665
171,West Milford High School,Public,12-Sep,67 Highlander Drive,West Milford,7480,No,(n/a),No,No,(973) 838-6515
172,Leonia High School,Public,12-Sep,100 Christie Heights Street,Leonia,7605,No,(n/a),No,Yes,(201) 302-5200
173,Columbia High School,Public,12-Sep,17 Parker Ave,Maplewood,7040,No,(n/a),No,No,(973) 762-5600
174,Jonathan Dayton High School,Public,12-Sep,139 Mountain Ave.,Springfield,7081,No,(n/a),No,Yes,(973) 376-1025
175,Dunellen High School,Public,12-Sep,411 First Street,Dunellen,8812,No,(n/a),No,Yes,(732) 968-0885
176,Saddle Brook Middle/High School,Public,12-Jul,355 Mayhill Street,Saddle Brook,7663,No,(n/a),No,Yes,(201) 843-2880
177,Rosa L. Parks School of Fine and Performing Arts,Public,12-Sep,413 12th Avenue,Paterson,7514,No,(n/a),No,Yes,(973) 321-0520
178,New Egypt High School,Public,12-Sep,117 Evergreen Road,New Egypt,8533,No,(n/a),No,Yes,(609) 758-6800
179,Barnegat High School,Public,12-Sep,180 Bengal Blvd,Barnegat,8005,No,(n/a),No,No,(609) 660-7510
180,Passaic Valley Regional High School,Public,12-Sep,170 East Main Street,Little Falls,7424,No,(n/a),No,Yes,(973) 890-2500
181,Vernon Township High School,Public,12-Sep,1832 Route 565,Vernon,7462,No,(n/a),No,No,(973) 764-2960
182,Secaucus High School,Public,12-Sep,11 Mill Ridge Road,Secaucus,7094,No,(n/a),No,Yes,(201) 974-2033
183,Somerset County Vocational Technical High School,Public,12-Sep,14 Vogt Drive,Bridgewater,8807,No,(n/a),No,Yes,(908) 526-8900
184,Toms River High School North,Public,12-Sep,1245 Old Freehold Road,Toms River,8753,No,(n/a),No,No,(732) 505-5702
185,Burlington Township High School,Public,12-Sep,610 Fountain Avenue,Burlington,8016,No,(n/a),No,Yes,(609) 387-1713
186,Middletown High School North,Public,12-Sep,63 Tindall Road,Middletown,7748,No,(n/a),No,No,(732) 706-6061
187,Monroe Township High School,Public,12-Sep,200 Schoolhouse Road,Monroe Township,8831,No,(n/a),No,Yes,(732) 521-2882
188,Technology High School,Public,12-Sep,223 Broadway,Newark,7102,No,(n/a),No,Yes,(973) 481-5962
189,Rancocas Valley Regional High School,Public,12-Sep,520 Jacksonville Road,Mount Holly,8060,No,(n/a),No,Yes,(609) 267-0830
190,Piscataway Township High School,Public,12-Sep,100 Behmer Road,Piscataway,8854,No,(n/a),No,Yes,(732) 981-0700
191,Absegami High School,Public,12-Sep,201 S Wrangleboro Road,Galloway,8205,No,(n/a),No,Yes,(609) 652-1372
192,Brick Township Memorial High School,Public,12-Sep,2001 Lanes Mill Rd,Brick,8724,No,(n/a),No,No,(732) 785-3000
193,Audubon Junior/Senior High School,Public,12-Jul,350 Edgewood Avenue,Audubon,8106,No,(n/a),No,Yes,(856) 547-7695
194,University High School,Public,12-Jul,55 Clinton Pl,Newark,7108,No,(n/a),No,Yes,(973) 374-3190
195,Jackson Liberty High School,Public,12-Sep,125 North Hope Chapel Road,Jackson,8527,No,(n/a),No,No,(732) 833-4700
196,Hamilton East - Steinert,Public,12-Sep,2900 Klockner Road,Hamilton,8690,No,(n/a),No,No,(609) 631-4150
197,Mainland Regional High School,Public,12-Sep,1301 Oak Avenue,Linwood,8221,No,(n/a),No,Yes,(609) 927-4151
198,Bordentown Regional High School,Public,12-Sep,318 Ward Ave,Bordentown,8505,No,(n/a),No,No,(609) 298-0025
199,David Brearley Middle/High School,Public,12-Jul,401 Monroe Avenue,Kenilworth,7033,No,(n/a),No,No,(908) 931-9696
200,Wood-Ridge Junior/Senior High School,Public,12-Jul,258 Hackensack St,Wood Ridge,7075,No,(n/a),No,Yes,(201) 933-6777
201,Hammonton High School,Public,12-Sep,566 Old Forks Road,Hammonton,8037,No,(n/a),No,Yes,(609) 567-7000
202,Willliamstown High School,Public,12-Sep,700 N Tuckahoe Rd,Williamstown,8094,No,(n/a),No,No,(856) 262-8200
203,Lyndhurst High School,Public,12-Sep,400 Weart Avenue,Lyndhurst,7071,No,(n/a),No,No,(201) 896-2100
204,Haddon Heights Junior/Senior High School,Public,12-Jul,301 Second Avenue,Haddon Heights,8035,No,(n/a),No,Yes,(856) 547-1920
205,Highland Park High School,Public,12-Sep,102 North Fifth Avenue,Highland Park,8904,No,(n/a),No,Yes,(732) 572-2400
206,South Amboy Middle/High School,Public,12-Jun,200 Governor Harold G Hoffman,South Amboy,8879,No,(n/a),No,Yes,(732) 316-7669
207,Phillipsburg High School,Public,12-Sep,1 Stateliner Blvd.,Phillipsburg,8865,No,(n/a),No,No,(908) 454-3400
208,New Milford High School,Public,12-Sep,330 River Road,New Milford,7646,No,(n/a),No,No,(201) 262-0172
209,Lacey Township High School,Public,12-Sep,73 Haines Street,Lanoka Harbor,8734,No,(n/a),No,No,(609) 971-2020
210,Jackson Memorial High School,Public,12-Sep,101 Don Connor Boulevard,Jackson,8527,No,(n/a),No,No,(732) 833-4670
211,Nutley High School,Public,12-Sep,300 Franklin Ave,Nutley,7110,No,(n/a),No,Yes,(973) 661-8824
212,Wallkill Valley Regional High School,Public,12-Sep,10 Grumm Road,Hamburg,7419,No,(n/a),No,Yes,(973) 827-4100
213,Cedar Grove High School,Public,12-Sep,90 Rugby Road,Cedar Grove,7009,No,(n/a),No,No,(973) 239-6400
214,Matawan Regional High School,Public,12-Sep,450 Atlantic Avenue,Aberdeen,7747,No,(n/a),No,No,(732) 705-5200
215,Belvidere High School,Public,12-Sep,809 Oxford Street,Belvidere,7823,No,(n/a),No,Yes,(908) 475-4025
216,Bergenfield High School,Public,12-Sep,80 S Prospect Ave,Bergenfield,7621,No,(n/a),No,Yes,(201) 385-8600
217,Gloucester County Institute of Technology,Public,12-Sep,1360 Tanyard Road,Sewell,8080,No,(n/a),No,Yes,(856) 468-1445
218,Sayreville War Memorial High School,Public,12-Sep,820 Washington Road,Parlin,8859,No,(n/a),No,No,(732) 525-5252
219,Monmouth Regional High School,Public,12-Sep,One Norman J Field Way,Tinton Falls,7724,No,(n/a),No,Yes,(732) 542-1170
220,Sterling High School,Public,12-Sep,501 South Warwick Road,Somerdale,8083,No,(n/a),No,Yes,(856) 784-1333
221,Bayonne High School,Public,12-Sep,669 Avenue A,Bayonne,7002,No,(n/a),No,No,(201) 858-5900
222,Egg Harbor Township High School,Public,12-Sep,24 High School Drive,Egg Harbor Township,8234,No,(n/a),No,No,(609) 653-0100
223,Maple Shade High School,Public,12-Jul,180 Frederick Ave,Maple Shade,8052,No,(n/a),No,Yes,(856) 779-2880
224,Hawthorne High School,Public,12-Sep,160 Parmelee Avenue,Hawthorne,7506,No,(n/a),No,No,(973) 423-6415
225,Essex County Newark Technical,Public,12-Sep,91 West Market Street,Newark,7103,No,(n/a),No,Yes,(973) 412-2204
226,Lower Cape May Regional High School,Public,12-Sep,687 Rt 9,Cape May,8204,No,(n/a),No,Yes,(609) 884-3475
