Rank (of 402),School,Type,Grades,Address,City,Zip,Is Charter,Is Magnet,Is Virtual,Is Title I,Phone
27,Montgomery High School,Public,9/12,1016 Route 601,Skillman,8558,No,(n/a),No,Yes,(609) 466-7602
28,Ridgewood High School,Public,9/12,627 East Ridgewood Ave,Ridgewood,7451,No,(n/a),No,No,(201) 670-2800
29,West Morris Central High School,Public,9/12,259 Bartley Road,Chester,7930,No,(n/a),No,No,(908) 879-5212
30,Monroe Township High School,Public,9/12,200 Schoolhouse Road,Monroe Township,8831,No,(n/a),No,Yes,(732) 521-2882
31,Glen Ridge High School,Public,7/12,200 Ridgewood Ave,Glen Ridge,7028,No,(n/a),No,No,(973) 429-8303
32,Waldwick High School,Public,9/12,155 Wyckoff Avenue,Waldwick,7463,No,(n/a),No,No,(201) 652-9000
33,Northern Valley Regional High School at Old Tappan,Public,9/12,140 Central Avenue,Old Tappan,7675,No,(n/a),No,Yes,(201) 784-1600
34,Leonia High School,Public,9/12,100 Christie Heights Street,Leonia,7605,No,(n/a),No,Yes,(201) 302-5200
35,Mountain Lakes High School,Public,9/12,96 Powerville Rd.,Mountain Lakes,7046,No,(n/a),No,No,(973) 334-8400
36,John P. Stevens High School,Public,9/12,855 Grove Avenue,Edison,8820,No,(n/a),No,No,(732) 452-2800
37,Hunterdon Central Regional High School District,Public,9/12,84 Route 31,Flemington,8822,No,(n/a),No,Yes,(908) 782-5727
38,Voorhees High School,Public,9/12,256 County Route 513,Glen Gardner,8826,No,(n/a),No,Yes,(908) 638-6116
39,Dumont High School,Public,9/12,101 New Milford Ave,Dumont,7628,No,(n/a),No,No,(201) 387-3000
40,Mount Olive High School,Public,9/12,18 Corey Road,Flanders,7836,No,(n/a),No,No,(973) 927-2208
41,High Technical High School,Public,9/12,1 High Tech Way,Secaucus,7094,No,(n/a),No,Yes,(201) 662-6801
42,Point Pleasant Beach High School,Public,9/12,700 Trenton Avenue,Point Pleasant Beach,8742,No,(n/a),No,Yes,(732) 899-1817
43,River Dell Regional High School,Public,9/12,55 Pyle Street,Oradell,7649,No,(n/a),No,Yes,(201) 599-7240
44,Pascack Hills High School,Public,9/12,225 West Grand Avenue,Montvale,7645,No,(n/a),No,No,(201) 358-7020
45,Bridgewater-Raritan High School,Public,9/12,600 Garretson Road,Bridgewater,8807,No,(n/a),No,No,(908) 231-8660
46,Northern Highlands Regional High School,Public,9/12,298 Hillside Ave,Allendale,7401,No,(n/a),No,Yes,(201) 327-8700
47,Ramsey High School,Public,9/12,256 E Main Street,Ramsey,7446,No,(n/a),No,No,(201) 785-2300
48,Ridge High School,Public,9/12,268 South Finley Avenue,Basking Ridge,7920,No,(n/a),No,No,(908) 204-2585
49,Millburn High School,Public,9/12,462 Millburn Ave,Millburn,7041,No,(n/a),No,No,(973) 564-7130
50,Passaic County Technical Institute,Public,9/12,45 Reinhardt Road,Wayne,7470,No,(n/a),No,Yes,(973) 790-6000
51,Chatham High School,Public,9/12,255 Lafayette Avenue,Chatham,7928,No,(n/a),No,No,(973) 457-2505
52,Fair Lawn High School,Public,9/12,14 00 Berdan Avenue,Fair Lawn,7410,No,(n/a),No,Yes,(201) 794-5455
53,Morris Hills High School,Public,9/12,520 West Main Street,Rockaway,7866,No,(n/a),No,Yes,(973) 664-2301
54,Northern Valley Regional High School At Demarest,Public,9/12,150 Knickerbocker Road,Demarest,7627,No,(n/a),No,No,(201) 768-3200
55,Bard Early College High School,Public,9/12,321 Bergen Street,Newark,7103,No,(n/a),No,Yes,(212) 995-8479
56,Technology High School,Public,9/12,223 Broadway,Newark,7102,No,(n/a),No,Yes,(973) 481-5962
57,East Orange STEM Academy High School,Public,6/12,129 Renshaw Avenue,East Orange,7017,No,(n/a),No,Yes,(973) 266-5900
58,Hackettstown High School,Public,9/12,599 Warren Street,Hackettstown,7840,No,(n/a),No,No,(908) 852-8150
59,Park Ridge High School,Public,7/12,2 Park Ave,Park Ridge,7656,No,(n/a),No,No,(201) 573-6000
60,Pompton Lakes High School,Public,9/12,44 Lakeside Avenue,Pompton Lakes,7442,No,(n/a),No,No,(973) 835-7100
61,Great Oaks Legacy Charter School,"Public, Charter, Alternative","PK, KG-12",24 Maiden Lane,Newark,7102,Yes,(n/a),No,Yes,(973) 565-9170
62,Wayne Hills High School,Public,9/12,272 Berdan Avenue,Wayne,7470,No,(n/a),No,No,(973) 317-2000
63,New Milford High School,Public,9/12,330 River Road,New Milford,7646,No,(n/a),No,No,(201) 262-0172
64,Cherry Hill High School East,Public,9/12,1750 Kresson Rd.,Cherry Hill,8003,No,(n/a),No,No,(856) 424-2222
65,Tenafly High School,Public,9/12,19 Columbus Drive,Tenafly,7670,No,(n/a),No,No,(201) 816-6614
66,Bergenfield High School,Public,9/12,80 S Prospect Ave,Bergenfield,7621,No,(n/a),No,Yes,(201) 385-8600
67,Wayne Valley High School,Public,9/12,551 Valley Road,Wayne,7470,No,(n/a),No,Yes,(973) 317-2200
68,County Prep High School,Public,9/12,525 Montgomery Street,Jersey City,7306,No,(n/a),No,Yes,(201) 631-6302
69,Cedar Grove High School,Public,9/12,90 Rugby Road,Cedar Grove,7009,No,(n/a),No,No,(973) 239-6400
70,Westfield Senior High School,Public,9/12,550 Dorian Road,Westfield,7090,No,(n/a),No,No,(908) 789-4500
71,Clearview Regional High School,Public,9/12,625 Breakneck Rd,Mullica Hill,8062,No,(n/a),No,Yes,(856) 223-2790
72,Hillsborough High School,Public,9/12,466 Raider Boulevard,Hillsborough,8844,No,(n/a),No,No,(908) 431-6600
73,Ramapo High School,Public,9/12,331 George Street,Franklin Lakes,7417,No,(n/a),No,No,(201) 891-1500
74,Montclair High School,Public,9/12,100 Chestnut St,Montclair,7042,No,(n/a),No,No,(973) 509-4100
75,South Plainfield High School,Public,9/12,200 Lake Street,South Plainfield,7080,No,(n/a),No,No,(908) 754-4620
76,Middlesex High School,Public,9/12,300 John F. Kennedy Drive,Middlesex,8846,No,(n/a),No,No,(732) 317-6000
77,Matawan Regional High School,Public,9/12,450 Atlantic Avenue,Aberdeen,7747,No,(n/a),No,No,(732) 705-5200
78,Livingston High School,Public,9/12,30 Robert Harp Drive,Livingston,7039,No,(n/a),No,Yes,(973) 535-8000
79,Eastern Regional High School,Public,9/12,1401 Laurel Oak Road,Voorhees,8043,No,(n/a),No,Yes,(856) 784-4441
80,Hammonton High School,Public,9/12,566 Old Forks Road,Hammonton,8037,No,(n/a),No,Yes,(609) 567-7000
81,Gloucester County Institute of Technology,Public,9/12,1360 Tanyard Road,Sewell,8080,No,(n/a),No,Yes,(856) 468-1445
82,Fort Lee High School,Public,9/12,3000 Lemoine Ave,Fort Lee,7024,No,(n/a),No,Yes,(201) 585-4675
83,Parsippany High School,Public,9/12,309 Baldwin Rd,Parsippany,7054,No,(n/a),No,Yes,(973) 263-7001
84,Rutherford High School,Public,9/12,56 Elliott Pl,Rutherford,7070,No,(n/a),No,No,(201) 438-7675
85,Liberty High School,Public,9/12,299 Sip Avenue,Jersey City,7306,No,(n/a),No,Yes,(201) 714-4373
86,West Windsor-Plainsboro High School North,Public,9/12,90 Grovers Mill Road,Plainsboro,8536,No,(n/a),No,Yes,(609) 716-5100
87,Vernon Township High School,Public,9/12,1832 Route 565,Vernon,7462,No,(n/a),No,No,(973) 764-2960
88,Princeton High School,Public,9/12,151 Moore Street,Princeton,8540,No,(n/a),No,No,(609) 806-4280
89,West Windsor-Plainsboro High School South,Public,9/12,346 Clarksville Road,West Windsor,8550,No,(n/a),No,Yes,(609) 716-5050
90,Madison High School,Public,9/12,170 Ridgedale Avenue,Madison,7940,No,(n/a),No,No,(973) 593-3117
91,Paramus High School,Public,9/12,99 East Century Road,Paramus,7652,No,(n/a),No,Yes,(201) 261-7800
92,New Providence High School,Public,9/12,35 Pioneer Dr,New Providence,7974,No,(n/a),No,Yes,(908) 464-4700
93,Randolph High School,Public,9/12,511 Millbrook Avenue,Randolph,7869,No,(n/a),No,No,(973) 361-2400
94,Butler High School,Public,9/12,38 Bartholdi Avenue,Butler,7405,No,(n/a),No,Yes,(973) 492-2000
95,Lyndhurst High School,Public,9/12,400 Weart Avenue,Lyndhurst,7071,No,(n/a),No,No,(201) 896-2100
96,Scotch Plains-Fanwood High School,Public,9/12,667 Westfield Road,Scotch Plains,7076,No,(n/a),No,Yes,(908) 889-8600
97,Elizabeth High School - Frank J Cicarell Academy,Public,9/12,40 Morrell Street,Elizabeth,7202,No,(n/a),No,Yes,(908) 436-5870
98,Performing Arts Academy of the Ocean County Vocational Technical,Public,9/12,Route 547,Lakehurst,8733,No,(n/a),No,No,(732) 286-5678
99,Governor Livingston High School,Public,9/12,175 Watchung Boulevard,Berkeley Heights,7922,No,(n/a),No,Yes,(908) 464-3100
100,West Essex High School,Public,9/12,65 West Greenbrook Rd,North Caldwell,7006,No,(n/a),No,Yes,(973) 228-1200
101,Metuchen High School,Public,9/12,400 Grove Ave,Metuchen,8840,No,(n/a),No,Yes,(732) 321-8744
102,Red Bank Regional High School,Public,9/12,101 Ridge Road,Little Silver,7739,No,(n/a),No,Yes,(732) 842-8000
103,Bernards High School,Public,9/12,25 Olcott Avenue,Bernardsville,7924,No,(n/a),No,No,(908) 630-3000
104,Allentown High School,Public,9/12,27 High Street,Allentown,8501,No,(n/a),No,Yes,(609) 259-7292
105,North Warren Regional School,Public,7/12,10 Noe Rd,Blairstown,7825,No,(n/a),No,Yes,(908) 362-8211
106,Westwood Junior/Senior High School,Public,8/12,701 Ridgewood Road,Township Of Washington,7676,No,(n/a),No,No,(201) 664-0880
107,Ridgefield Memorial High School,Public,9/12,555 Walnut St,Ridgefield,7657,No,(n/a),No,No,(201) 945-4455
108,Verona High School,Public,9/12,151 Fairview Ave,Verona,7044,No,(n/a),No,No,(973) 571-6750
109,Robbinsville High School,Public,9/12,155 Robbinsville Edinburg Rd,Robbinsville,8691,No,(n/a),No,No,(609) 632-0950
110,Holmdel High School,Public,9/12,36 Crawfords Corner Road,Holmdel,7733,No,(n/a),No,Yes,(732) 946-1832
111,Toms River High School North,Public,9/12,1245 Old Freehold Road,Toms River,8753,No,(n/a),No,No,(732) 505-5702
112,Emerson Junior Senior High,Public,7/12,131 Main Street,Emerson,7630,No,(n/a),No,Yes,(201) 262-4447
113,Monmouth Regional High School,Public,9/12,One Norman J Field Way,Tinton Falls,7724,No,(n/a),No,Yes,(732) 542-1170
114,Pascack Valley High School,Public,9/12,200 Piermont Avenue,Hillsdale,7642,No,(n/a),No,No,(201) 358-7060
115,Parsippany Hills High School,Public,9/12,20 Rita Drive,Morris Plains,7950,No,(n/a),No,No,(973) 682-2815
116,Ridgefield Park Junior Senior High School,Public,7/12,1 Ozzie Nelson Drive,Ridgefield Park,7660,No,(n/a),No,Yes,(201) 440-1440
117,Lakeland Regional High School,Public,9/12,205 Conklintown Road,Wanaque,7465,No,(n/a),No,Yes,(973) 835-1900
118,West Morris Mendham High School,Public,9/12,65 East Main Street,Mendham,7945,No,(n/a),No,No,(973) 543-2501
119,Southern Regional High School,Public,9/12,90 Cedar Bridge Road,Manahawkin,8050,No,(n/a),No,Yes,(609) 597-9481
120,Lenape High School,Public,9/12,235 Hartford Road,Medford,8055,No,(n/a),No,Yes,(609) 654-5111
121,Glen Rock High School,Public,9/12,400 Hamilton Avenue,Glen Rock,7452,No,(n/a),No,No,(201) 445-7700
122,Cinnaminson High School,Public,9/12,1197 Riverton Road,Cinnaminson,8077,No,(n/a),No,Yes,(856) 829-7770
123,Midland Park Junior/Senior High School,Public,7/12,250 Prospect St,Midland Park,7432,No,(n/a),No,Yes,(201) 444-7400
124,Spotswood High School,Public,9/12,105 Summerhill Road,Spotswood,8884,No,(n/a),No,No,(732) 723-2200
125,Moorestown High School,Public,9/12,350 Bridgeboro Road,Moorestown,8057,No,(n/a),No,Yes,(856) 778-6610
126,Union County TEAMS Charter School,"Public, Charter, Alternative",K-12,515 517 West Fourth Street,Plainfield,7060,Yes,(n/a),No,Yes,(908) 754-9043
127,Rancocas Valley Regional High School,Public,9/12,520 Jacksonville Road,Mount Holly,8060,No,(n/a),No,Yes,(609) 267-0830
128,Somerset County Vocational Technical High School,Public,9/12,14 Vogt Drive,Bridgewater,8807,No,(n/a),No,Yes,(908) 526-8900
129,Phillipsburg High School,Public,9/12,1 Stateliner Blvd.,Phillipsburg,8865,No,(n/a),No,No,(908) 454-3400
130,Secaucus High School,Public,9/12,11 Mill Ridge Road,Secaucus,7094,No,(n/a),No,Yes,(201) 974-2033
131,Montville Township High School,Public,9/12,100 Horseneck Road,Montville,7045,No,(n/a),No,No,(973) 331-7100
132,Franklin High School,Public,9/12,500 Elizabeth Avenue,Somerset,8873,No,(n/a),No,No,(732) 302-4200
133,Sparta High School,Public,9/12,70 West Mountain Road,Sparta,7871,No,(n/a),No,Yes,(973) 729-6191
134,Freehold Borough High School,Public,9/12,2 Robertsville Road,Freehold,7728,No,(n/a),No,Yes,(732) 431-8360
135,Morris Knolls High School,Public,9/12,50 Knoll Drive,Denville,7834,No,(n/a),No,No,(973) 664-2201
136,Old Bridge High School,Public,9/12,4209 Route 516,Matawan,7747,No,(n/a),No,No,(732) 290-3900
137,Cresskill High School,Public,9/12,1 Lincoln Dr,Cresskill,7626,No,(n/a),No,No,(201) 227-7791
138,Union City High School,Public,9/12,2500 Kennedy Blvd,Union City,7087,No,(n/a),No,Yes,(201) 330-8678
139,Henry Hudson Regional School,Public,7/12,1 Grand Tour,Highlands,7732,No,(n/a),No,Yes,(732) 872-0900
140,Hasbrouck Heights High School,Public,9/12,365 Boulevard,Hasbrouck Heights,7604,No,(n/a),No,No,(201) 288-6150
141,Newton High School,Public,9/12,44 Ryerson Avenue,Newton,7860,No,(n/a),No,No,(973) 383-7573
142,Highland Park High School,Public,9/12,102 North Fifth Avenue,Highland Park,8904,No,(n/a),No,Yes,(732) 572-2400
143,Point Pleasant Borough High School,Public,9/12,Laura Herbert Dr,Point Pleasant Beach,8742,No,(n/a),No,No,(732) 701-1900
144,High Point Regional High School District,Public,9/12,299 Pidgeon Hill Road,Sussex,7461,No,(n/a),No,Yes,(973) 875-3101
145,Florence Township Memorial High School,Public,9/12,1050 Cedar Lane,Burlington,8016,No,(n/a),No,Yes,(609) 499-4620
146,Lenape Valley Regional High School,Public,9/12,28 Sparta Road,Stanhope,7874,No,(n/a),No,Yes,(973) 347-7600
147,Weehawken High School,Public,7/12,53 Liberty Place,Weehawken,7086,No,(n/a),No,Yes,(201) 422-6130
148,Absegami High School,Public,9/12,201 S Wrangleboro Road,Galloway,8205,No,(n/a),No,Yes,(609) 652-1372
149,South Brunswick High School,Public,9/12,750 Ridge Road,Monmouth Junction,8852,No,(n/a),No,No,(732) 329-4044
150,Shawnee High School,Public,9/12,600 Tabernacle Road,Medford,8055,No,(n/a),No,No,(609) 654-7544
151,Jefferson Township High School,Public,9/12,1010 Weldon Rd Rd2,Oak Ridge,7438,No,(n/a),No,No,(973) 697-3535
152,Cranford High School,Public,9/12,201 West End Place,Cranford,7016,No,(n/a),No,No,(908) 709-6272
153,Dwight Morrow High School/Academies@Englewood,Public,9/12,274 Knickerbocker Rd,Englewood,7631,No,(n/a),No,Yes,(201) 862-6039
154,Toms River High School East,Public,9/12,1225 Raider Way,Toms River,8753,No,(n/a),No,No,(732) 505-5665
155,Alexander Hamilton Preparatory Academy,Public,9/12,310 Cherry St,Elizabeth,7208,No,(n/a),No,Yes,(908) 436-6100
156,Somerville High School,Public,9/12,222 Davenport St.,Somerville,8876,No,(n/a),No,No,(908) 218-4108
157,Collingswood High School,Public,9/12,424 Collings Ave,Collingswood,8108,No,(n/a),No,Yes,(856) 962-5701
158,Pequannock Township High School,Public,9/12,85 Sunset Road,Pompton Plains,7444,No,(n/a),No,Yes,(973) 616-6000
159,Roselle Park High School,Public,9/12,185 W Webster Ave,Roselle Park,7204,No,(n/a),No,Yes,(908) 241-4550
160,Nutley High School,Public,9/12,300 Franklin Ave,Nutley,7110,No,(n/a),No,Yes,(973) 661-8824
161,Kingsway Regional High School,Public,9/12,201 Kings Highway,Woolwich Twp,8085,No,(n/a),No,Yes,(856) 467-3300
162,Wallington Junior Senior High School,Public,7/12,234 Main Ave,Wallington,7057,No,(n/a),No,No,(973) 777-0808
163,James Caldwell High School,Public,9/12,265 Westville Ave,West Caldwell,7006,No,(n/a),No,No,(973) 228-6981
164,New Egypt High School,Public,9/12,117 Evergreen Road,New Egypt,8533,No,(n/a),No,Yes,(609) 758-6800
165,Bergen Arts and Sciences Charter School,"Public, Charter, Alternative",K-12,200 MacArthur Avenue,Garfield,7026,Yes,(n/a),No,Yes,(201) 773-9140
166,Arthur L. Johnson High School,Public,9/12,365 Westfield Avenue,Clark,7066,No,(n/a),No,Yes,(732) 382-0910
167,Foundation Academy Charter School,"Public, Charter, Alternative",K-12,363 West State Street,Trenton,8608,Yes,(n/a),No,Yes,(609) 920-9200
168,Lower Cape May Regional High School,Public,9/12,687 Rt 9,Cape May,8204,No,(n/a),No,Yes,(609) 884-3475
169,Piscataway Township High School,Public,9/12,100 Behmer Road,Piscataway,8854,No,(n/a),No,Yes,(732) 981-0700
170,East Brunswick High School,Public,10/12,380 Cranbury Road,E Brunswick,8816,No,(n/a),No,No,(732) 613-6904
171,Cherokee High School,Public,9/12,120 Tomlinson Mill Road,Marlton,8053,No,(n/a),No,No,(856) 983-5140
172,Howell High School,Public,9/12,405 Squankum Yellowbrook Road,Farmingdale,7727,No,(n/a),No,No,(732) 919-2131
173,Woodstown High School,Public,9/12,140 East Avenue,Woodstown,8098,No,(n/a),No,Yes,(856) 769-0144
174,Plainfield Academy For The Arts & Advanced Studies,Public,7/12,1700 West Front St,Plainfield,7063,No,(n/a),No,No,(908) 731-4421
175,Palisades Park Junior-Senior High School,Public,7/12,Veterans Plaza,Palisades Park,7650,No,(n/a),No,Yes,(201) 941-1100
176,Middletown High School South,Public,9/12,900 Nut Swamp Road,Middletown,7748,No,(n/a),No,No,(732) 706-6111
177,Burlington County Institute of Technology - Westampton,Public,9/12,695 Woodlane Road,Westampton,8060,No,(n/a),No,Yes,(609) 267-4226
178,Haddon Township High School,Public,9/12,406 Memorial Avenue,Westmont,8108,No,(n/a),No,No,(856) 869-7750
179,Lodi High School,Public,9/12,99 Putnam Street,Lodi,7644,No,(n/a),No,Yes,(973) 478-6100
180,Haddonfield Memorial High School,Public,9/12,401 Kings Highway East,Haddonfield,8033,No,(n/a),No,No,(856) 429-3960
181,Northern Burlington County Regional High School,Public,9/12,160 Mansfield Road East,Columbus,8022,No,(n/a),No,Yes,(609) 298-3900
182,Wall High School,Public,9/12,1630 18th Ave,Wall,7719,No,(n/a),No,Yes,(732) 556-2040
183,Whippany Park High School,Public,9/12,165 Whippany Road,Whippany,7981,No,(n/a),No,Yes,(973) 887-3004
184,Freehold Township High School,Public,9/12,281 Elton Adelphia Road,Freehold,7728,No,(n/a),No,Yes,(732) 431-8460
185,Hamilton North - Nottingham,Public,9/12,1055 Klockner Road,Hamilton,8619,No,(n/a),No,No,(609) 631-4161
186,Dover High School,Public,9/12,100 Grace Street,Dover,7801,No,(n/a),No,Yes,(973) 989-2010
187,Egg Harbor Township High School,Public,9/12,24 High School Drive,Egg Harbor Township,8234,No,(n/a),No,No,(609) 653-0100
188,South River High School,Public,9/12,11 Montgomery Street,South River,8882,No,(n/a),No,Yes,(732) 613-4014
189,Bayonne High School,Public,9/12,669 Avenue A,Bayonne,7002,No,(n/a),No,No,(201) 858-5900
190,Cicely L. Tyson Community Middle/High School,Public,6/12,35 Winans Street,East Orange,7017,No,(n/a),No,Yes,(973) 414-8600
191,Henry P. Becton Regional High School,Public,9/12,120 Paterson Avenue,East Rutherford,7073,No,(n/a),No,Yes,(201) 935-3007
192,Bogota Junior/Senior High School,Public,7/12,2 Henry C Luthin Place,Bogota,7603,No,(n/a),No,No,(201) 441-4808
193,Ocean Township High School,Public,9/12,550 West Park Avenue,Oakhurst,7755,No,(n/a),No,No,(732) 531-5650
194,Rumson-Fair Haven Regional High School,Public,9/12,74 Ridge Road,Rumson,7760,No,(n/a),No,Yes,(732) 842-1597
195,Teaneck High School,Public,9/12,100 Elizabeth Ave,Teaneck,7666,No,(n/a),No,No,(201) 833-5400
196,Carteret High School,Public,9/12,199 Washington Avenue,Carteret,7008,No,(n/a),No,No,(732) 541-8960
197,West Deptford High School,Public,9/12,1600 Old Crown Point Rd,West Deptford,8093,No,(n/a),No,No,(856) 848-6110
198,North Brunswick Township High School,Public,9/12,98 Raider Road,North Brunswick,8902,No,(n/a),No,No,(732) 289-3702
199,Warren Hills Regional High School,Public,9/12,41 Jackson Valley Road,Washington,7882,No,(n/a),No,No,(908) 689-3050
200,Hightstown High School,Public,9/12,25 Leshin Lane,Hightstown,8520,No,(n/a),No,Yes,(609) 443-7738
201,Roxbury High School,Public,9/12,One Bryant Drive,Succasunna,7876,No,(n/a),No,No,(973) 584-1200
202,Memorial Senior High School,Public,9/12,375 River Dr,Elmwood Park,7407,No,(n/a),No,No,(201) 796-8700
203,Manalapan High School,Public,9/12,20 Church Lane,Englishtown,7726,No,(n/a),No,No,(732) 792-7200
204,Manville High School,Public,9/12,1100 Brooks Boulevard,Manville,8835,No,(n/a),No,No,(908) 231-6806
205,Salem County Career and Technical High School,Public,9/12,880 Route 45,Woodstown,8098,No,(n/a),No,No,(856) 769-0101
206,Columbia High School,Public,9/12,17 Parker Ave,Maplewood,7040,No,(n/a),No,No,(973) 762-5600
207,Indian Hills High School,Public,9/12,97 Yawpo Ave,Oakland,7436,No,(n/a),No,Yes,(201) 337-0100
208,Seneca High School,Public,9/12,110 Carranza Road,Tabernacle,8088,No,(n/a),No,Yes,(609) 268-4600
209,Marlboro High School,Public,9/12,95 North Main Street,Marlboro,7746,No,(n/a),No,No,(732) 617-8393
210,Jackson Memorial High School,Public,9/12,101 Don Connor Boulevard,Jackson,8527,No,(n/a),No,No,(732) 833-4670
211,Garfield High School,Public,9/12,500 Palisade Ave,Garfield,7026,No,(n/a),No,Yes,(973) 340-5010
212,Edison High School,Public,9/12,50 Boulevard Of The Eagles,Edison,8817,No,(n/a),No,Yes,(732) 650-5200
213,Hawthorne High School,Public,9/12,160 Parmelee Avenue,Hawthorne,7506,No,(n/a),No,No,(973) 423-6415
214,Memorial High School,Public,9/12,5501 Park Ave,West New York,7093,No,(n/a),No,Yes,(201) 553-4110
215,Essex County Newark Technical,Public,9/12,91 West Market Street,Newark,7103,No,(n/a),No,Yes,(973) 412-2204
216,Mainland Regional High School,Public,9/12,1301 Oak Avenue,Linwood,8221,No,(n/a),No,Yes,(609) 927-4151
217,Dunellen High School,Public,9/12,411 First Street,Dunellen,8812,No,(n/a),No,Yes,(732) 968-0885
218,Delaware Valley Regional High School,Public,9/12,19 Senator Stout Rd,Frenchtown,8825,No,(n/a),No,Yes,(908) 996-2131
219,Pennsauken High School,Public,9/12,800 Hylton Road,Pennsauken,8110,No,(n/a),No,Yes,(856) 662-8500
220,Sayreville War Memorial High School,Public,9/12,820 Washington Road,Parlin,8859,No,(n/a),No,No,(732) 525-5252
221,Passaic Valley Regional High School,Public,9/12,170 East Main Street,Little Falls,7424,No,(n/a),No,Yes,(973) 890-2500
222,Hamilton East - Steinert,Public,9/12,2900 Klockner Road,Hamilton,8690,No,(n/a),No,No,(609) 631-4150
223,Hackensack High School,Public,9/12,First & Beech Streets,Hackensack,7601,No,(n/a),No,Yes,(201) 646-7900
224,Jonathan Dayton High School,Public,9/12,139 Mountain Ave.,Springfield,7081,No,(n/a),No,Yes,(973) 376-1025
225,Watchung Hills Regional High School,Public,9/12,108 Stirling Rd.,Warren,7059,No,(n/a),No,Yes,(908) 647-4800
226,Maple Shade High School,Public,7/12,180 Frederick Ave,Maple Shade,8052,No,(n/a),No,Yes,(856) 779-2880
227,Central Regional High School,Public,9/12,509 Forest Hills Parkway,Bayville,8721,No,(n/a),No,Yes,(732) 269-1100
228,Belvidere High School,Public,9/12,809 Oxford Street,Belvidere,7823,No,(n/a),No,Yes,(908) 475-4025
229,West Orange High School,Public,9/12,51 Conforti Ave,West Orange,7052,No,(n/a),No,No,(973) 669-5301
230,Bloomfield High School,Public,9/12,160 Broad Street,Bloomfield,7003,No,(n/a),No,Yes,(973) 680-8500
231,Cape May County Technical High SChool,Public,9/12,188 Crest Haven Rd,Cape May Court House,8210,No,(n/a),No,Yes,(609) 380-0200
