,City,Latitude,Longitude,# of Sales,Total Sales Price,Avg Sale Price
1,ABSECON CITY,39.4285,-74.4957,57,"11,054,700","193,942"
2,ATLANTIC CITY CITY,39.3643,-74.4229,114,"20,930,660","183,602"
3,BRIGANTINE CITY,40.912798,-74.41516,73,"30,830,899","422,341"
4,BUENA BORO,40.912798,-74.41516,20,"2,878,200","143,910"
5,BUENA VISTA TWP,40.912798,-74.41516,22,"4,640,600","210,936"
6,CORBIN CITY CITY,40.879699,-74.14263,0,0,0
7,EGG HARBOR CITY,40.830733,-73.97334,15,"1,636,900","109,127"
8,EGG HARBOR TWP,40.830733,-73.97334,279,"65,762,685","235,709"
9,ESTELL MANOR CITY,40.830733,-73.97334,4,"1,130,000","282,500"
10,FOLSOM BORO,40.816737,-74.00082,8,"1,460,000","182,500"
11,GALLOWAY TWP,40.849879,-73.97501,122,"22,010,145","180,411"
12,HAMILTON TWP,40.80495,-74.2047,132,"25,305,420","191,708"
13,HAMMONTON TOWN,40.80495,-74.2047,89,"18,492,700","207,783"
14,LINWOOD CITY,41.007389,-74.04247,30,"11,605,025","386,834"
15,LONGPORT BORO,41.007389,-74.04247,42,"43,736,000","1,041,333"
16,MARGATE CITY CITY,41.007389,-74.04247,188,"100,691,501","535,593"
17,MULLICA TWP,40.389428,-74.54329,27,"5,631,600","208,578"
18,NORTHFIELD CITY,40.51057,-74.72472,73,"16,662,968","228,260"
19,PLEASANTVILLE CITY,40.583035,-74.96224,45,"4,531,500","100,700"
20,PORT REPUBLIC CITY,40.583035,-74.96224,5,"1,025,490","205,098"
21,SOMERS POINT CITY,40.430006,-74.417344,26,"6,961,400","267,746"
22,VENTNOR CITY,40.500254,-74.4257,99,"36,450,330","368,185"
23,WEYMOUTH TWP,40.500254,-74.4257,5,"985,500","197,100"
1,ALLENDALE BORO,39.4285,-74.4957,70,"53,875,537","769,651"
2,ALPINE BORO,39.4285,-74.4957,14,"43,830,500","3,130,750"
3,BERGENFIELD BORO,39.3643,-74.4229,156,"54,747,829","350,948"
4,BOGOTA BORO,39.3643,-74.4229,35,"10,073,877","287,825"
5,CARLSTADT BORO,40.912798,-74.41516,20,"6,427,450","321,373"
6,CLIFFSIDE PARK BORO,40.912798,-74.41516,185,"75,797,830","409,718"
7,CLOSTER BORO,40.912798,-74.41516,80,"55,460,500","693,256"
8,CRESSKILL BORO,40.656302,-74.30371,122,"86,180,383","706,397"
9,DEMAREST BORO,40.656302,-74.30371,49,"41,264,499","842,133"
10,DUMONT BORO,40.656302,-74.30371,110,"36,264,998","329,682"
11,ELMWOOD PARK BORO,40.830733,-73.97334,109,"34,733,501","318,656"
12,E RUTHERFORD BORO,40.656302,-74.30371,42,"13,648,500","324,964"
13,EDGEWATER BORO,40.830733,-73.97334,163,"85,182,800","522,594"
14,EMERSON BORO,40.830733,-73.97334,54,"25,638,350","474,784"
15,ENGLEWOOD CITY,40.830733,-73.97334,184,"90,816,905","493,570"
16,ENGLEWOOD CLIFFS BORO,40.830733,-73.97334,79,"92,655,613","1,172,856"
17,FAIRLAWN BORO,40.827499,-74.28091,232,"83,869,551","361,507"
18,FAIRVIEW BORO,40.816737,-74.00082,38,"12,472,870","328,233"
19,FORT LEE BORO,40.849879,-73.97501,253,"138,434,333","547,171"
20,FRANKLIN LAKES BORO,40.849879,-73.97501,101,"108,325,568","1,072,530"
21,GARFIELD CITY,40.879858,-74.10807,97,"26,014,550","268,191"
22,GLEN ROCK BORO,40.80495,-74.2047,137,"82,006,254","598,586"
23,HACKENSACK CITY,40.80495,-74.2047,210,"49,392,614","235,203"
24,HARRINGTON PARK BORO,40.80495,-74.2047,49,"28,337,000","578,306"
25,HASBROUCK HGHTS BORO,40.745951,-74.15509,67,"26,353,400","393,334"
26,HAWORTH BORO,40.745951,-74.15509,34,"26,972,550","793,310"
27,HILLSDALE BORO,40.745951,-74.15509,94,"45,760,394","486,813"
28,HOHOKUS BORO,40.745951,-74.15509,55,"41,323,450","751,335"
29,LEONIA BORO,40.744851,-74.03294,22,"9,693,400","440,609"
30,LITTLE FERRY BORO,41.007389,-74.04247,33,"7,725,191","234,097"
31,LODI BORO,41.007389,-74.04247,94,"29,377,700","312,529"
32,LYNDHURST TWP,41.007389,-74.04247,124,"40,040,950","322,911"
33,MAHWAH TWP,41.007389,-74.04247,338,"174,530,180","516,361"
34,MAYWOOD BORO,41.007389,-74.04247,75,"27,021,350","360,285"
35,MIDLAND PARK BORO,41.007389,-74.04247,48,"20,535,325","427,819"
36,MONTVALE BORO,41.007389,-74.04247,80,"47,692,650","596,158"
37,MOONACHIE BORO,41.007389,-74.04247,7,"1,887,750","269,679"
38,NEW MILFORD BORO,40.389428,-74.54329,107,"39,205,400","366,406"
39,NORTH ARLINGTON BORO,40.51057,-74.72472,71,"22,626,428","318,682"
40,NORTHVALE BORO,40.51057,-74.72472,36,"16,137,500","448,264"
41,NORWOOD BORO,40.51057,-74.72472,47,"29,302,699","623,462"
42,OAKLAND BORO,40.51057,-74.72472,103,"47,171,077","457,972"
43,OLD TAPPAN BORO,40.51057,-74.72472,58,"52,293,842","901,618"
44,ORADELL BORO,40.51057,-74.72472,83,"42,455,025","511,506"
45,PALISADES PARK BORO,40.51057,-74.72472,151,"75,702,886","501,344"
46,PARAMUS BORO,40.51057,-74.72472,187,"107,538,025","575,070"
47,PARK RIDGE BORO,40.51057,-74.72472,79,"43,588,000","551,747"
48,RAMSEY BORO,40.565493,-74.938931,154,"80,843,905","524,960"
49,RIDGEFIELD BORO,40.565493,-74.938931,69,"29,006,500","420,384"
50,RIDGEFIELD PARK VILLAGE,40.565493,-74.938931,57,"16,008,220","280,846"
51,RIDGEWOOD VILLAGE,40.565493,-74.938931,293,"242,464,135","827,523"
52,RIVEREDGE BORO,40.565493,-74.938931,103,"43,376,073","421,127"
53,RIVERVALE TWP,40.565493,-74.938931,112,"61,214,300","546,556"
54,ROCHELLE PARK TWP,40.565493,-74.938931,50,"16,080,077","321,602"
55,ROCKLEIGH BORO,40.565493,-74.938931,3,"2,220,000","740,000"
56,RUTHERFORD BORO,40.563654,-74.949409,105,"43,513,325","414,413"
57,SADDLE BROOK TWP,40.563654,-74.949409,106,"34,716,247","327,512"
58,SADDLE RIVER BORO,40.563654,-74.949409,42,"79,007,999","1,881,143"
59,SO HACKENSACK TWP,40.430006,-74.417344,3,"1,227,500","409,167"
60,TEANECK TWP,40.500254,-74.4257,213,"88,891,121","417,329"
61,TENAFLY BORO,40.500254,-74.4257,187,"166,299,836","889,304"
62,TETERBORO BORO,40.500254,-74.4257,0,0,0
63,UPPER SADDLE RIV BORO,40.500254,-74.4257,104,"99,329,800","955,094"
64,WALDWICK BORO,40.500254,-74.4257,95,"41,150,205","433,160"
65,WALLINGTON BORO,40.500254,-74.4257,8,"1,797,500","224,688"
66,WASHINGTON TWP,40.500254,-74.4257,27,"13,231,835","490,068"
67,WESTWOOD BORO,40.500254,-74.4257,28,"12,283,700","438,704"
68,WOODCLIFF LAKE BORO,40.500254,-74.4257,56,"44,117,150","787,806"
69,WOOD RIDGE BORO,40.500254,-74.4257,72,"24,094,000","334,639"
70,WYCKOFF TWP,40.500254,-74.4257,188,"142,450,545","757,716"
1,BASS RIVER TWP,39.3643,-74.4229,1,"413,000","413,000"
2,BEVERLY CITY,39.3643,-74.4229,9,"1,334,900","148,322"
3,BORDENTOWN CITY,39.3643,-74.4229,33,"7,357,700","222,961"
4,BORDENTOWN TWP,39.3643,-74.4229,83,"20,980,158","252,773"
5,BURLINGTON CITY,40.912798,-74.41516,50,"7,907,264","158,145"
6,BURLINGTON TWP,40.912798,-74.41516,142,"34,437,686","242,519"
7,CHESTERFIELD TWP,40.912798,-74.41516,50,"20,710,975","414,220"
8,CINNAMINSON TWP,40.912798,-74.41516,44,"12,287,150","279,253"
9,DELANCO TWP,40.656302,-74.30371,12,"2,645,800","220,483"
10,DELRAN TWP,40.656302,-74.30371,136,"32,491,325","238,907"
11,EASTAMPTON TWP,40.770933,-74.20589,11,"2,687,500","244,318"
12,EDGEWATER PARK TWP,40.830733,-73.97334,29,"4,918,000","169,586"
13,EVESHAM TWP,40.830733,-73.97334,390,"102,905,939","263,861"
14,FIELDSBORO BORO,40.816737,-74.00082,4,"720,000","180,000"
15,FLORENCE TWP,40.816737,-74.00082,84,"18,864,600","224,579"
16,HAINESPORT TWP,40.80495,-74.2047,40,"12,294,978","307,374"
17,LUMBERTON TWP,41.007389,-74.04247,73,"23,830,799","326,449"
18,MANSFIELD TWP,41.007389,-74.04247,108,"28,316,648","262,191"
19,MAPLE SHADE TWP,41.007389,-74.04247,31,"4,286,500","138,274"
20,MEDFORD TWP,41.007389,-74.04247,215,"76,856,590","357,473"
21,MEDFORD LAKES BORO,41.007389,-74.04247,56,"15,132,950","270,231"
22,MOORESTOWN TWP,41.007389,-74.04247,235,"126,517,329","538,372"
23,MT HOLLY TWP,40.389428,-74.54329,51,"9,176,600","179,933"
24,MT LAUREL TWP,40.389428,-74.54329,205,"47,767,901","233,014"
25,NEW HANOVER TWP,40.389428,-74.54329,6,"1,456,500","242,750"
26,NO HANOVER TWP,40.51057,-74.72472,13,"3,743,300","287,946"
27,PALMYRA BORO,40.51057,-74.72472,60,"9,808,044","163,467"
28,PEMBERTON BORO,40.51057,-74.72472,12,"2,430,400","202,533"
29,PEMBERTON TWP,40.51057,-74.72472,124,"20,653,879","166,564"
30,RIVERSIDE TWP,40.565493,-74.938931,49,"6,597,810","134,649"
31,RIVERTON BORO,40.565493,-74.938931,22,"5,810,000","264,091"
32,SHAMONG TWP,40.430006,-74.417344,51,"17,268,128","338,591"
33,SOUTHAMPTON TWP,40.430006,-74.417344,148,"27,718,969","187,290"
34,SPRINGFIELD TWP,40.39159,-74.39329,4,"1,295,500","323,875"
35,TABERNACLE TWP,40.500254,-74.4257,15,"4,532,500","302,167"
36,WASHINGTON TWP,40.500254,-74.4257,0,0,0
37,WESTAMPTON TWP,40.500254,-74.4257,73,"18,203,550","249,364"
38,WILLINGBORO TWP,40.500254,-74.4257,136,"20,789,013","152,860"
39,WOODLAND TWP,40.500254,-74.4257,8,"2,160,000","270,000"
40,WRIGHTSTOWN BORO,40.500254,-74.4257,1,"83,000","83,000"
1,AUDUBON BORO,39.3643,-74.4229,56,"10,560,291","188,577"
2,AUDUBON PARK BORO,39.3643,-74.4229,0,0,0
3,BARRINGTON BORO,39.3643,-74.4229,40,"9,114,899","227,872"
4,BELLMAWR BORO,39.3643,-74.4229,55,"7,812,884","142,052"
5,BERLIN BORO,39.3643,-74.4229,73,"16,554,036","226,768"
6,BERLIN TWP,39.3643,-74.4229,28,"4,603,287","164,403"
7,BROOKLAWN BORO,40.912798,-74.41516,13,"1,578,800","121,446"
8,CAMDEN CITY,40.912798,-74.41516,98,"5,786,704","59,048"
9,CHERRY HILL TWNSHP,40.912798,-74.41516,623,"151,313,208","242,878"
10,CHESILHURST BORO,40.912798,-74.41516,4,"560,000","140,000"
11,CLEMENTON BORO,40.912798,-74.41516,24,"2,926,300","121,929"
12,COLLINGSWOOD BORO,40.912798,-74.41516,129,"28,647,997","222,077"
13,GIBBSBORO BORO,40.879858,-74.10807,13,"2,498,500","192,192"
14,GLOUCESTER CITY,40.80495,-74.2047,64,"5,733,321","89,583"
15,GLOUCESTER TWP,40.80495,-74.2047,402,"69,544,455","172,996"
16,HADDON TWP,40.80495,-74.2047,133,"31,978,381","240,439"
17,HADDONFIELD BORO,40.80495,-74.2047,178,"84,513,152","474,793"
18,HADDON HEIGHTS BORO,40.80495,-74.2047,90,"23,745,750","263,842"
19,HI NELLA BORO,40.745951,-74.15509,0,0,0
20,LAUREL SPRINGS BORO,40.744851,-74.03294,13,"2,188,700","168,362"
21,LAWNSIDE BORO,40.744851,-74.03294,4,"469,500","117,375"
22,LINDENWOLD BORO,41.007389,-74.04247,56,"5,285,400","94,382"
23,MAGNOLIA BORO,41.007389,-74.04247,25,"3,534,093","141,364"
24,MERCHANTVILLE BORO,41.007389,-74.04247,27,"4,878,350","180,680"
25,MOUNT EPHRAIM BORO,41.007389,-74.04247,26,"3,398,400","130,708"
26,OAKLYN BORO,40.51057,-74.72472,28,"4,704,550","168,020"
27,PENNSAUKEN TWP,40.51057,-74.72472,141,"20,648,745","146,445"
28,PINE HILL BORO,40.51057,-74.72472,45,"5,729,718","127,327"
29,PINE VALLEY BORO,40.51057,-74.72472,0,0,0
30,RUNNEMEDE BORO,40.563654,-74.949409,55,"7,330,700","133,285"
31,SOMERDALE BORO,40.430006,-74.417344,16,"2,247,700","140,481"
32,STRATFORD BORO,40.39159,-74.39329,13,"2,037,500","156,731"
33,TAVISTOCK BORO,40.500254,-74.4257,0,0,0
34,VOORHEES TWP,40.500254,-74.4257,275,"78,109,509","284,035"
35,WATERFORD TWP,40.500254,-74.4257,52,"9,543,100","183,521"
36,WINSLOW TWP,40.500254,-74.4257,215,"38,919,375","181,020"
37,WOODLYNNE BORO,40.500254,-74.4257,2,"87,000","43,500"
1,AVALON BORO,39.3643,-74.4229,164,"189,727,990","1,156,878"
2,CAPE MAY CITY,40.912798,-74.41516,82,"56,688,700","691,326"
3,CAPE MAY POINT BORO,40.912798,-74.41516,13,"10,016,749","770,519"
4,DENNIS TWP,40.656302,-74.30371,26,"6,233,000","239,731"
5,LOWER TWP,41.007389,-74.04247,130,"37,609,747","289,306"
6,MIDDLE TWP,41.007389,-74.04247,119,"33,533,150","281,791"
7,NORTH WILDWOOD CITY,40.51057,-74.72472,224,"63,183,400","282,069"
8,OCEAN CITY CITY,40.51057,-74.72472,565,"334,589,502","592,194"
9,SEA ISLE CITY CITY,40.430006,-74.417344,210,"128,352,774","611,204"
